carrier,flight,origin,dest,name
AA,753,LGA,DFW,American Airlines Inc.
WN,3574,EWR,MDW,Southwest Airlines Co.
EV,4141,EWR,OKC,ExpressJet Airlines Inc.
B6,116,JFK,SYR,JetBlue Airways
B6,22,JFK,SYR,JetBlue Airways
9E,3459,JFK,BNA,Endeavor Air Inc.
AA,647,JFK,MIA,American Airlines Inc.
UA,540,EWR,RSW,United Air Lines Inc.
DL,2280,JFK,FLL,Delta Air Lines Inc.
9E,4120,JFK,CLE,Endeavor Air Inc.
B6,281,JFK,HOU,JetBlue Airways
AA,145,JFK,SAN,American Airlines Inc.
B6,795,JFK,AUS,JetBlue Airways
AA,1073,LGA,MIA,American Airlines Inc.
UA,1677,EWR,SFO,United Air Lines Inc.
DL,1747,LGA,ATL,Delta Air Lines Inc.
AA,1762,JFK,BOS,American Airlines Inc.
UA,1291,EWR,SFO,United Air Lines Inc.
AA,343,LGA,ORD,American Airlines Inc.
DL,301,JFK,SJU,Delta Air Lines Inc.
MQ,3202,JFK,IND,Envoy Air
B6,380,EWR,BOS,JetBlue Airways
B6,1172,EWR,BOS,JetBlue Airways
UA,435,EWR,SAN,United Air Lines Inc.
DL,1647,LGA,ATL,Delta Air Lines Inc.
MQ,4670,LGA,BNA,Envoy Air
AA,1611,LGA,MIA,American Airlines Inc.
DL,569,JFK,ATL,Delta Air Lines Inc.
B6,316,JFK,SYR,JetBlue Airways
B6,371,LGA,FLL,JetBlue Airways
EV,4572,EWR,GSP,ExpressJet Airlines Inc.
9E,3899,JFK,CLE,Endeavor Air Inc.
UA,1498,EWR,SFO,United Air Lines Inc.
B6,171,JFK,SMF,JetBlue Airways
9E,3932,EWR,CVG,Endeavor Air Inc.
UA,619,EWR,ORD,United Air Lines Inc.
9E,4033,LGA,TYS,Endeavor Air Inc.
AS,11,EWR,SEA,Alaska Airlines Inc.
VX,23,JFK,SFO,Virgin America
EV,4326,EWR,CLT,ExpressJet Airlines Inc.
UA,1700,EWR,SFO,United Air Lines Inc.
UA,557,EWR,SFO,United Air Lines Inc.
VX,251,JFK,LAS,Virgin America
MQ,3466,LGA,RDU,Envoy Air
B6,507,EWR,FLL,JetBlue Airways
US,1745,EWR,CLT,US Airways Inc.
B6,1273,JFK,CHS,JetBlue Airways
AA,235,JFK,SEA,American Airlines Inc.
WN,172,LGA,MDW,Southwest Airlines Co.
B6,795,JFK,AUS,JetBlue Airways
B6,1516,JFK,SYR,JetBlue Airways
UA,1228,EWR,SAN,United Air Lines Inc.
9E,3289,JFK,BOS,Endeavor Air Inc.
WN,1795,LGA,MDW,Southwest Airlines Co.
AA,3,JFK,LAX,American Airlines Inc.
B6,1734,JFK,BTV,JetBlue Airways
EV,4131,EWR,RIC,ExpressJet Airlines Inc.
9E,3968,JFK,PHL,Endeavor Air Inc.
MQ,4485,LGA,CMH,Envoy Air
UA,1092,LGA,ORD,United Air Lines Inc.
UA,673,LGA,ORD,United Air Lines Inc.
UA,1164,EWR,FLL,United Air Lines Inc.
UA,998,EWR,PHX,United Air Lines Inc.
AA,1635,JFK,SJU,American Airlines Inc.
AA,2279,LGA,MIA,American Airlines Inc.
B6,39,JFK,PBI,JetBlue Airways
MQ,3730,EWR,ORD,Envoy Air
F9,841,LGA,DEN,Frontier Airlines Inc.
B6,65,JFK,ABQ,JetBlue Airways
DL,1231,LGA,DTW,Delta Air Lines Inc.
DL,1819,LGA,MSP,Delta Air Lines Inc.
WN,1704,EWR,STL,Southwest Airlines Co.
UA,842,EWR,FLL,United Air Lines Inc.
UA,1224,EWR,LAX,United Air Lines Inc.
9E,3416,JFK,RDU,Endeavor Air Inc.
US,1085,LGA,CLT,US Airways Inc.
UA,1466,EWR,IAH,United Air Lines Inc.
9E,4127,JFK,IAD,Endeavor Air Inc.
UA,1106,EWR,SAN,United Air Lines Inc.
UA,1519,EWR,MCO,United Air Lines Inc.
UA,1668,EWR,SFO,United Air Lines Inc.
UA,1623,EWR,IAH,United Air Lines Inc.
UA,316,EWR,TPA,United Air Lines Inc.
DL,1705,LGA,MSY,Delta Air Lines Inc.
EV,3807,EWR,PIT,ExpressJet Airlines Inc.
UA,745,LGA,DEN,United Air Lines Inc.
B6,179,JFK,PHX,JetBlue Airways
B6,1307,JFK,IAD,JetBlue Airways
DL,2047,LGA,ATL,Delta Air Lines Inc.
UA,1048,LGA,ORD,United Air Lines Inc.
AA,1,JFK,LAX,American Airlines Inc.
DL,2043,JFK,SJU,Delta Air Lines Inc.
B6,393,LGA,MCO,JetBlue Airways
B6,2302,JFK,BUF,JetBlue Airways
9E,4295,JFK,ORF,Endeavor Air Inc.
B6,611,JFK,JAX,JetBlue Airways
AA,695,JFK,AUS,American Airlines Inc.
B6,5,EWR,FLL,JetBlue Airways
UA,1109,EWR,MCO,United Air Lines Inc.
B6,27,EWR,MCO,JetBlue Airways
EV,4695,EWR,MHT,ExpressJet Airlines Inc.
MQ,3363,JFK,RDU,Envoy Air
US,186,EWR,PHX,US Airways Inc.
B6,2702,JFK,BUF,JetBlue Airways
AA,353,LGA,ORD,American Airlines Inc.
HA,51,JFK,HNL,Hawaiian Airlines Inc.
US,2142,LGA,BOS,US Airways Inc.
VX,411,JFK,LAX,Virgin America
EV,5475,LGA,CLT,ExpressJet Airlines Inc.
B6,605,EWR,FLL,JetBlue Airways
DL,843,JFK,ATL,Delta Air Lines Inc.
B6,217,JFK,LGB,JetBlue Airways
B6,486,JFK,ROC,JetBlue Airways
DL,2391,JFK,TPA,Delta Air Lines Inc.
UA,1638,EWR,CLE,United Air Lines Inc.
UA,1701,EWR,FLL,United Air Lines Inc.
UA,1600,EWR,LAX,United Air Lines Inc.
DL,930,LGA,FLL,Delta Air Lines Inc.
B6,87,JFK,SLC,JetBlue Airways
EV,4219,EWR,IND,ExpressJet Airlines Inc.
WN,168,LGA,MDW,Southwest Airlines Co.
UA,1496,EWR,SNA,United Air Lines Inc.
US,2114,LGA,BOS,US Airways Inc.
B6,547,EWR,PBI,JetBlue Airways
AA,235,JFK,SEA,American Airlines Inc.
B6,15,JFK,SFO,JetBlue Airways
FL,645,LGA,ATL,AirTran Airways Corporation
US,2138,LGA,BOS,US Airways Inc.
DL,831,LGA,DTW,Delta Air Lines Inc.
AA,2243,JFK,MIA,American Airlines Inc.
9E,3373,JFK,RDU,Endeavor Air Inc.
B6,1161,LGA,PBI,JetBlue Airways
UA,1464,EWR,CLE,United Air Lines Inc.
9E,3879,EWR,CVG,Endeavor Air Inc.
DL,947,LGA,ATL,Delta Air Lines Inc.
B6,24,JFK,BTV,JetBlue Airways
UA,1548,EWR,MSY,United Air Lines Inc.
DL,2042,EWR,ATL,Delta Air Lines Inc.
DL,2247,LGA,ATL,Delta Air Lines Inc.
B6,411,JFK,LAS,JetBlue Airways
VX,11,JFK,SFO,Virgin America
UA,206,EWR,PHX,United Air Lines Inc.
UA,1262,EWR,ORD,United Air Lines Inc.
AA,2279,LGA,MIA,American Airlines Inc.
UA,1654,EWR,SAN,United Air Lines Inc.
B6,71,JFK,SLC,JetBlue Airways
WN,2081,LGA,MKE,Southwest Airlines Co.
US,604,EWR,PHX,US Airways Inc.
DL,2065,JFK,SFO,Delta Air Lines Inc.
B6,1171,LGA,FLL,JetBlue Airways
US,2154,LGA,BOS,US Airways Inc.
EV,4195,EWR,BNA,ExpressJet Airlines Inc.
US,195,JFK,PHX,US Airways Inc.
B6,553,EWR,RSW,JetBlue Airways
B6,477,JFK,JAX,JetBlue Airways
DL,1545,LGA,MCI,Delta Air Lines Inc.
EV,4580,EWR,BTV,ExpressJet Airlines Inc.
DL,1421,LGA,RSW,Delta Air Lines Inc.
AA,1156,LGA,DFW,American Airlines Inc.
US,2164,LGA,BOS,US Airways Inc.
US,2169,LGA,DCA,US Airways Inc.
AA,1097,LGA,DFW,American Airlines Inc.
DL,87,JFK,SLC,Delta Air Lines Inc.
B6,219,JFK,CLT,JetBlue Airways
MQ,4622,LGA,BNA,Envoy Air
DL,2285,LGA,MCO,Delta Air Lines Inc.
EV,4583,EWR,PWM,ExpressJet Airlines Inc.
AA,2488,EWR,DFW,American Airlines Inc.
MQ,3281,LGA,CMH,Envoy Air
EV,4137,EWR,ATL,ExpressJet Airlines Inc.
VX,411,JFK,LAX,Virgin America
AA,1073,LGA,MIA,American Airlines Inc.
B6,83,JFK,SEA,JetBlue Airways
AA,2223,LGA,STL,American Airlines Inc.
US,1066,EWR,CLT,US Airways Inc.
9E,2922,JFK,MSP,Endeavor Air Inc.
AA,2253,LGA,MIA,American Airlines Inc.
B6,1117,LGA,TPA,JetBlue Airways
UA,695,LGA,ORD,United Air Lines Inc.
UA,809,EWR,IAH,United Air Lines Inc.
EV,4087,EWR,IND,ExpressJet Airlines Inc.
DL,1695,LGA,TPA,Delta Air Lines Inc.
DL,1771,JFK,DTW,Delta Air Lines Inc.
MQ,4449,JFK,DCA,Envoy Air
AA,2267,LGA,MIA,American Airlines Inc.
MQ,3622,LGA,BNA,Envoy Air
AA,1611,LGA,MIA,American Airlines Inc.
UA,1701,EWR,FLL,United Air Lines Inc.
EV,4684,EWR,SDF,ExpressJet Airlines Inc.
B6,2602,JFK,BUF,JetBlue Airways
EV,4323,EWR,RDU,ExpressJet Airlines Inc.
DL,731,LGA,DTW,Delta Air Lines Inc.
MQ,4573,LGA,DTW,Envoy Air
UA,477,EWR,PDX,United Air Lines Inc.
B6,925,JFK,TPA,JetBlue Airways
DL,2370,LGA,PBI,Delta Air Lines Inc.
B6,1271,LGA,FLL,JetBlue Airways
B6,671,JFK,LAX,JetBlue Airways
EV,4679,EWR,JAX,ExpressJet Airlines Inc.
B6,393,LGA,MCO,JetBlue Airways
MQ,3744,EWR,ORD,Envoy Air
UA,1053,EWR,CLE,United Air Lines Inc.
UA,617,EWR,PDX,United Air Lines Inc.
UA,328,LGA,DEN,United Air Lines Inc.
EV,4380,EWR,MSP,ExpressJet Airlines Inc.
UA,1625,EWR,DEN,United Air Lines Inc.
UA,781,EWR,MCO,United Air Lines Inc.
MQ,4410,JFK,DCA,Envoy Air
US,2197,LGA,DCA,US Airways Inc.
MQ,3272,LGA,CLE,Envoy Air
9E,3374,EWR,MSP,Endeavor Air Inc.
US,2132,LGA,BOS,US Airways Inc.
UA,316,LGA,IAH,United Air Lines Inc.
B6,1013,JFK,LGB,JetBlue Airways
EV,5311,LGA,BGR,ExpressJet Airlines Inc.
AA,1787,JFK,TPA,American Airlines Inc.
EV,4187,EWR,BNA,ExpressJet Airlines Inc.
WN,3211,LGA,MKE,Southwest Airlines Co.
MQ,3281,LGA,CMH,Envoy Air
DL,1433,LGA,RSW,Delta Air Lines Inc.
UA,1292,EWR,BOS,United Air Lines Inc.
US,1873,LGA,CLT,US Airways Inc.
DL,930,LGA,FLL,Delta Air Lines Inc.
EV,4572,EWR,GSP,ExpressJet Airlines Inc.
EV,4333,EWR,TUL,ExpressJet Airlines Inc.
DL,914,LGA,DEN,Delta Air Lines Inc.
AA,759,LGA,DFW,American Airlines Inc.
EV,4552,EWR,GSO,ExpressJet Airlines Inc.
B6,171,JFK,SMF,JetBlue Airways
UA,1183,EWR,RSW,United Air Lines Inc.
AA,1813,JFK,MCO,American Airlines Inc.
EV,4535,EWR,MSP,ExpressJet Airlines Inc.
UA,654,EWR,ORD,United Air Lines Inc.
DL,1275,JFK,SLC,Delta Air Lines Inc.
AA,145,JFK,MIA,American Airlines Inc.
9E,3310,JFK,MCI,Endeavor Air Inc.
EV,4372,EWR,DCA,ExpressJet Airlines Inc.
UA,368,EWR,LAS,United Air Lines Inc.
B6,377,LGA,FLL,JetBlue Airways
UA,1587,EWR,RSW,United Air Lines Inc.
AA,337,LGA,ORD,American Airlines Inc.
UA,580,JFK,SFO,United Air Lines Inc.
EV,4255,EWR,CHS,ExpressJet Airlines Inc.
9E,2914,JFK,DCA,Endeavor Air Inc.
US,2171,LGA,DCA,US Airways Inc.
MQ,4478,LGA,DTW,Envoy Air
EV,4326,EWR,CLT,ExpressJet Airlines Inc.
EV,4424,EWR,RDU,ExpressJet Airlines Inc.
WN,366,LGA,STL,Southwest Airlines Co.
UA,1464,EWR,CLE,United Air Lines Inc.
AA,1837,LGA,MIA,American Airlines Inc.
B6,543,EWR,PBI,JetBlue Airways
EV,5545,EWR,DTW,ExpressJet Airlines Inc.
DL,2285,LGA,MCO,Delta Air Lines Inc.
EV,4106,EWR,GSO,ExpressJet Airlines Inc.
WN,625,EWR,MDW,Southwest Airlines Co.
US,449,EWR,CLT,US Airways Inc.
UA,1159,EWR,BOS,United Air Lines Inc.
EV,3259,EWR,PWM,ExpressJet Airlines Inc.
AA,1905,EWR,DFW,American Airlines Inc.
B6,1018,JFK,BOS,JetBlue Airways
UA,552,EWR,SEA,United Air Lines Inc.
DL,1231,LGA,DTW,Delta Air Lines Inc.
B6,375,LGA,FLL,JetBlue Airways
B6,523,JFK,LAX,JetBlue Airways
MQ,3199,LGA,CLT,Envoy Air
MQ,3411,LGA,RDU,Envoy Air
US,2126,LGA,BOS,US Airways Inc.
UA,314,JFK,LAX,United Air Lines Inc.
DL,2219,LGA,MSP,Delta Air Lines Inc.
MQ,4425,JFK,DCA,Envoy Air
9E,4277,JFK,ORF,Endeavor Air Inc.
DL,301,JFK,SJU,Delta Air Lines Inc.
EV,4552,EWR,GSO,ExpressJet Airlines Inc.
9E,3412,JFK,RDU,Endeavor Air Inc.
B6,1511,EWR,RSW,JetBlue Airways
B6,2002,JFK,BUF,JetBlue Airways
EV,4204,EWR,OKC,ExpressJet Airlines Inc.
AA,883,EWR,DFW,American Airlines Inc.
B6,135,JFK,PHX,JetBlue Airways
AA,185,JFK,LAX,American Airlines Inc.
UA,1178,EWR,IAH,United Air Lines Inc.
9E,3854,LGA,GSP,Endeavor Air Inc.
B6,1202,JFK,BUF,JetBlue Airways
B6,1183,JFK,MCO,JetBlue Airways
US,2179,LGA,DCA,US Airways Inc.
DL,1415,JFK,SLC,Delta Air Lines Inc.
US,1229,EWR,CLT,US Airways Inc.
B6,181,JFK,SAN,JetBlue Airways
UA,1708,EWR,SJU,United Air Lines Inc.
AA,717,LGA,DFW,American Airlines Inc.
EV,4115,EWR,SAV,ExpressJet Airlines Inc.
AA,1611,LGA,MIA,American Airlines Inc.
9E,3542,JFK,MSP,Endeavor Air Inc.
DL,325,LGA,ATL,Delta Air Lines Inc.
UA,311,EWR,DEN,United Air Lines Inc.
US,2163,LGA,DCA,US Airways Inc.
EV,4640,EWR,DAY,ExpressJet Airlines Inc.
B6,97,JFK,DEN,JetBlue Airways
UA,1025,LGA,IAH,United Air Lines Inc.
US,2191,LGA,DCA,US Airways Inc.
UA,1138,EWR,PHX,United Air Lines Inc.
9E,3661,JFK,ROC,Endeavor Air Inc.
MQ,3411,LGA,RDU,Envoy Air
US,1897,LGA,CLT,US Airways Inc.
UA,237,EWR,PDX,United Air Lines Inc.
UA,1165,EWR,PBI,United Air Lines Inc.
EV,5147,LGA,CLE,ExpressJet Airlines Inc.
US,688,EWR,PHX,US Airways Inc.
UA,15,EWR,HNL,United Air Lines Inc.
UA,664,EWR,TPA,United Air Lines Inc.
B6,380,EWR,BOS,JetBlue Airways
B6,515,EWR,FLL,JetBlue Airways
DL,1597,JFK,BOS,Delta Air Lines Inc.
MQ,3599,LGA,MSP,Envoy Air
B6,1783,JFK,MCO,JetBlue Airways
UA,124,EWR,FLL,United Air Lines Inc.
DL,1433,JFK,MIA,Delta Air Lines Inc.
DL,87,JFK,LAX,Delta Air Lines Inc.
AA,371,LGA,ORD,American Airlines Inc.
UA,1493,EWR,LAX,United Air Lines Inc.
EV,4138,EWR,CVG,ExpressJet Airlines Inc.
9E,3395,JFK,DCA,Endeavor Air Inc.
UA,1078,EWR,SAT,United Air Lines Inc.
B6,1505,JFK,ABQ,JetBlue Airways
B6,325,JFK,TPA,JetBlue Airways
US,2140,LGA,BOS,US Airways Inc.
US,1125,EWR,CLT,US Airways Inc.
DL,1543,JFK,SEA,Delta Air Lines Inc.
UA,1299,EWR,RSW,United Air Lines Inc.
DL,461,LGA,ATL,Delta Air Lines Inc.
AA,2297,LGA,MIA,American Airlines Inc.
UA,471,EWR,AUS,United Air Lines Inc.
UA,1153,EWR,ORD,United Air Lines Inc.
US,1443,JFK,CLT,US Airways Inc.
US,1831,JFK,CLT,US Airways Inc.
DL,926,EWR,ATL,Delta Air Lines Inc.
EV,5485,LGA,RDU,ExpressJet Airlines Inc.
DL,1959,JFK,MCO,Delta Air Lines Inc.
9E,4277,JFK,ORF,Endeavor Air Inc.
B6,127,EWR,MCO,JetBlue Airways
B6,1099,LGA,MCO,JetBlue Airways
AA,1223,EWR,DFW,American Airlines Inc.
AA,353,LGA,ORD,American Airlines Inc.
MQ,3478,LGA,DTW,Envoy Air
AA,2279,LGA,MIA,American Airlines Inc.
B6,167,JFK,OAK,JetBlue Airways
B6,403,JFK,SJU,JetBlue Airways
MQ,4670,LGA,BNA,Envoy Air
DL,27,JFK,ATL,Delta Air Lines Inc.
AA,84,JFK,BOS,American Airlines Inc.
B6,59,JFK,TPA,JetBlue Airways
DL,1729,JFK,LAS,Delta Air Lines Inc.
UA,693,LGA,ORD,United Air Lines Inc.
DL,1715,LGA,MSY,Delta Air Lines Inc.
VX,411,JFK,LAX,Virgin America
EV,5208,LGA,RIC,ExpressJet Airlines Inc.
MQ,3407,LGA,CMH,Envoy Air
DL,954,LGA,FLL,Delta Air Lines Inc.
US,802,EWR,CLT,US Airways Inc.
B6,371,LGA,FLL,JetBlue Airways
EV,5370,EWR,MSP,ExpressJet Airlines Inc.
UA,1581,EWR,SEA,United Air Lines Inc.
UA,1677,EWR,MCO,United Air Lines Inc.
9E,3932,EWR,CVG,Endeavor Air Inc.
MQ,3391,LGA,CMH,Envoy Air
US,1833,JFK,PHL,US Airways Inc.
EV,4322,EWR,PWM,ExpressJet Airlines Inc.
MQ,3349,LGA,MSP,Envoy Air
9E,3377,JFK,CVG,Endeavor Air Inc.
UA,997,LGA,ORD,United Air Lines Inc.
DL,1902,LGA,PBI,Delta Air Lines Inc.
EV,5454,EWR,DTW,ExpressJet Airlines Inc.
MQ,4518,LGA,RDU,Envoy Air
MQ,3660,LGA,BNA,Envoy Air
UA,372,EWR,LAS,United Air Lines Inc.
EV,4419,EWR,IND,ExpressJet Airlines Inc.
UA,654,EWR,ORD,United Air Lines Inc.
B6,905,JFK,ORD,JetBlue Airways
DL,1147,LGA,ATL,Delta Air Lines Inc.
DL,181,LGA,DTW,Delta Air Lines Inc.
DL,2451,LGA,RSW,Delta Air Lines Inc.
US,1995,LGA,CLT,US Airways Inc.
UA,1299,EWR,RSW,United Air Lines Inc.
US,2122,LGA,BOS,US Airways Inc.
UA,1064,EWR,BOS,United Air Lines Inc.
DL,2231,LGA,DTW,Delta Air Lines Inc.
AA,181,JFK,LAX,American Airlines Inc.
AA,2099,LGA,MIA,American Airlines Inc.
FL,1159,LGA,CAK,AirTran Airways Corporation
UA,1593,EWR,MCO,United Air Lines Inc.
AA,1838,JFK,BOS,American Airlines Inc.
AA,305,LGA,ORD,American Airlines Inc.
UA,1200,EWR,RSW,United Air Lines Inc.
UA,1430,JFK,LAX,United Air Lines Inc.
B6,1051,JFK,PIT,JetBlue Airways
EV,5769,LGA,IAD,ExpressJet Airlines Inc.
EV,4297,EWR,DTW,ExpressJet Airlines Inc.
B6,671,JFK,LAX,JetBlue Airways
EV,5711,JFK,IAD,ExpressJet Airlines Inc.
B6,1307,JFK,IAD,JetBlue Airways
MQ,3044,JFK,BWI,Envoy Air
UA,1688,LGA,ORD,United Air Lines Inc.
DL,1819,LGA,MSP,Delta Air Lines Inc.
UA,699,EWR,PHX,United Air Lines Inc.
UA,343,EWR,MCO,United Air Lines Inc.
AA,21,JFK,LAX,American Airlines Inc.
UA,1657,LGA,ORD,United Air Lines Inc.
MQ,4582,LGA,CLT,Envoy Air
B6,625,JFK,HOU,JetBlue Airways
UA,1485,EWR,LAS,United Air Lines Inc.
UA,642,JFK,SFO,United Air Lines Inc.
AA,1223,EWR,DFW,American Airlines Inc.
US,604,EWR,PHX,US Airways Inc.
AA,2253,LGA,MIA,American Airlines Inc.
DL,1565,JFK,SFO,Delta Air Lines Inc.
9E,3538,JFK,MSP,Endeavor Air Inc.
9E,3611,JFK,PIT,Endeavor Air Inc.
B6,341,JFK,SRQ,JetBlue Airways
B6,727,JFK,BQN,JetBlue Airways
MQ,4406,JFK,RDU,Envoy Air
WN,404,LGA,MKE,Southwest Airlines Co.
MQ,3697,EWR,ORD,Envoy Air
B6,537,EWR,TPA,JetBlue Airways
AA,753,LGA,DFW,American Airlines Inc.
EV,4241,EWR,DCA,ExpressJet Airlines Inc.
AA,1813,JFK,MCO,American Airlines Inc.
MQ,3567,LGA,CLT,Envoy Air
EV,4372,EWR,DCA,ExpressJet Airlines Inc.
B6,1273,JFK,CHS,JetBlue Airways
DL,315,JFK,SJU,Delta Air Lines Inc.
9E,3904,LGA,RIC,Endeavor Air Inc.
MQ,4490,LGA,CMH,Envoy Air
UA,439,EWR,BZN,United Air Lines Inc.
B6,901,JFK,FLL,JetBlue Airways
UA,246,EWR,DFW,United Air Lines Inc.
B6,991,JFK,PBI,JetBlue Airways
UA,1461,EWR,IAH,United Air Lines Inc.
MQ,4553,LGA,CLE,Envoy Air
UA,1682,LGA,IAH,United Air Lines Inc.
US,1459,LGA,CLT,US Airways Inc.
B6,711,JFK,LAS,JetBlue Airways
DL,1743,JFK,ATL,Delta Air Lines Inc.
UA,695,LGA,ORD,United Air Lines Inc.
B6,537,EWR,TPA,JetBlue Airways
DL,2065,JFK,SFO,Delta Air Lines Inc.
EV,4682,EWR,SDF,ExpressJet Airlines Inc.
EV,3854,EWR,DTW,ExpressJet Airlines Inc.
AA,211,JFK,IAH,American Airlines Inc.
MQ,3349,LGA,MSP,Envoy Air
EV,4395,EWR,IND,ExpressJet Airlines Inc.
AA,1850,JFK,BOS,American Airlines Inc.
AA,1787,JFK,TPA,American Airlines Inc.
EV,4504,EWR,JAX,ExpressJet Airlines Inc.
B6,209,JFK,LGB,JetBlue Airways
MQ,4670,LGA,BNA,Envoy Air
AA,145,JFK,SAN,American Airlines Inc.
EV,5026,EWR,DTW,ExpressJet Airlines Inc.
DL,1903,LGA,SRQ,Delta Air Lines Inc.
US,1103,EWR,CLT,US Airways Inc.
AA,1143,LGA,DFW,American Airlines Inc.
DL,2297,JFK,MCO,Delta Air Lines Inc.
UA,1151,EWR,SEA,United Air Lines Inc.
B6,675,JFK,LAX,JetBlue Airways
B6,135,JFK,PHX,JetBlue Airways
B6,2002,JFK,BUF,JetBlue Airways
EV,4997,EWR,DTW,ExpressJet Airlines Inc.
AA,1611,LGA,MIA,American Airlines Inc.
MQ,4589,LGA,DTW,Envoy Air
B6,199,JFK,LAS,JetBlue Airways
B6,10,JFK,BUF,JetBlue Airways
UA,1643,EWR,DEN,United Air Lines Inc.
UA,1401,EWR,MIA,United Air Lines Inc.
B6,24,JFK,BTV,JetBlue Airways
DL,1459,JFK,SAT,Delta Air Lines Inc.
VX,11,JFK,SFO,Virgin America
MQ,4564,LGA,DTW,Envoy Air
AA,59,JFK,SFO,American Airlines Inc.
US,449,EWR,CLT,US Airways Inc.
EV,4536,EWR,CVG,ExpressJet Airlines Inc.
B6,145,JFK,PBI,JetBlue Airways
EV,5203,EWR,DTW,ExpressJet Airlines Inc.
EV,4368,EWR,DAY,ExpressJet Airlines Inc.
MQ,4649,LGA,MSP,Envoy Air
9E,3459,JFK,BNA,Endeavor Air Inc.
EV,5392,LGA,PWM,ExpressJet Airlines Inc.
EV,4250,EWR,CMH,ExpressJet Airlines Inc.
UA,1281,EWR,SFO,United Air Lines Inc.
DL,1902,LGA,PBI,Delta Air Lines Inc.
DL,2319,LGA,MSP,Delta Air Lines Inc.
DL,2445,JFK,BOS,Delta Air Lines Inc.
WN,1028,LGA,BNA,Southwest Airlines Co.
B6,71,JFK,SLC,JetBlue Airways
MQ,4309,JFK,IND,Envoy Air
MQ,4553,LGA,CLE,Envoy Air
UA,257,JFK,SFO,United Air Lines Inc.
B6,1639,LGA,RSW,JetBlue Airways
DL,2457,LGA,MSY,Delta Air Lines Inc.
B6,701,JFK,SJU,JetBlue Airways
AA,2083,EWR,DFW,American Airlines Inc.
B6,1004,JFK,BOS,JetBlue Airways
WN,1098,LGA,MKE,Southwest Airlines Co.
9E,3885,JFK,BWI,Endeavor Air Inc.
B6,507,EWR,FLL,JetBlue Airways
EV,4390,EWR,PWM,ExpressJet Airlines Inc.
B6,185,JFK,SAN,JetBlue Airways
9E,3540,JFK,MSP,Endeavor Air Inc.
AA,179,JFK,SFO,American Airlines Inc.
MQ,3391,LGA,CMH,Envoy Air
VX,169,EWR,LAX,Virgin America
EV,5745,LGA,IAD,ExpressJet Airlines Inc.
US,1431,EWR,CLT,US Airways Inc.
UA,1625,EWR,DEN,United Air Lines Inc.
EV,4229,EWR,SAV,ExpressJet Airlines Inc.
UA,511,EWR,LAS,United Air Lines Inc.
B6,22,JFK,SYR,JetBlue Airways
B6,157,JFK,MCO,JetBlue Airways
EV,5747,LGA,IAD,ExpressJet Airlines Inc.
9E,3373,JFK,RDU,Endeavor Air Inc.
EV,4264,EWR,BTV,ExpressJet Airlines Inc.
US,2171,LGA,DCA,US Airways Inc.
9E,3538,JFK,MSP,Endeavor Air Inc.
UA,280,EWR,SEA,United Air Lines Inc.
DL,1131,LGA,DTW,Delta Air Lines Inc.
B6,573,EWR,TPA,JetBlue Airways
DL,2391,JFK,TPA,Delta Air Lines Inc.
DL,2370,LGA,PBI,Delta Air Lines Inc.
AA,1131,LGA,DFW,American Airlines Inc.
UA,1244,EWR,AUS,United Air Lines Inc.
MQ,3363,JFK,RDU,Envoy Air
WN,1224,EWR,BNA,Southwest Airlines Co.
WN,152,LGA,MKE,Southwest Airlines Co.
B6,901,JFK,FLL,JetBlue Airways
MQ,3823,JFK,DCA,Envoy Air
9E,4059,LGA,DAY,Endeavor Air Inc.
UA,245,EWR,DEN,United Air Lines Inc.
WN,318,EWR,MDW,Southwest Airlines Co.
B6,305,EWR,FLL,JetBlue Airways
DL,1743,JFK,ATL,Delta Air Lines Inc.
B6,1117,LGA,TPA,JetBlue Airways
UA,468,EWR,ORD,United Air Lines Inc.
AA,1223,EWR,DFW,American Airlines Inc.
DL,432,JFK,SFO,Delta Air Lines Inc.
EV,4536,EWR,CVG,ExpressJet Airlines Inc.
DL,2457,LGA,MSY,Delta Air Lines Inc.
US,1491,LGA,CLT,US Airways Inc.
DL,83,JFK,MIA,Delta Air Lines Inc.
WN,3135,LGA,MKE,Southwest Airlines Co.
MQ,4418,JFK,DCA,Envoy Air
B6,431,LGA,SRQ,JetBlue Airways
DL,1847,LGA,ATL,Delta Air Lines Inc.
AA,2279,LGA,MIA,American Airlines Inc.
AA,1030,LGA,STL,American Airlines Inc.
UA,841,JFK,LAX,United Air Lines Inc.
EV,4502,EWR,BNA,ExpressJet Airlines Inc.
UA,1622,EWR,ORD,United Air Lines Inc.
AA,1925,LGA,MIA,American Airlines Inc.
B6,461,LGA,PBI,JetBlue Airways
9E,3285,JFK,DTW,Endeavor Air Inc.
AA,575,JFK,EGE,American Airlines Inc.
EV,5209,LGA,CHS,ExpressJet Airlines Inc.
DL,930,LGA,FLL,Delta Air Lines Inc.
UA,561,LGA,DEN,United Air Lines Inc.
DL,2391,JFK,TPA,Delta Air Lines Inc.
EV,5268,LGA,CLT,ExpressJet Airlines Inc.
EV,4636,EWR,DCA,ExpressJet Airlines Inc.
B6,1511,EWR,RSW,JetBlue Airways
UA,578,EWR,MIA,United Air Lines Inc.
DL,1461,JFK,LAX,Delta Air Lines Inc.
B6,181,JFK,SAN,JetBlue Airways
WN,216,EWR,MDW,Southwest Airlines Co.
